Name,lat,lon
Privileg Club Berlin,52.49869,13.31721
Mantovani,52.50125,13.32489
Boujee,52.4982,13.31934
Capone Berlin,52.5016,13.32126
Café Bistro Shaniu,52.49621,13.32742
Fasanen 47,52.49606,13.32666
Trattoria Venezia,52.50167,13.32549
La Cantina,52.50324,13.3195
Meetyou - China Restaurant,52.49794,13.32661
Ristorante & Vinobar Calibocca,52.50393,13.31694
Taim,52.49855,13.32485
Spice India,52.4993,13.32502
Grand Cafe Cappuccino by Petroccelli,52.50299,13.32172
Adnan,52.50336,13.31685
Restaurant Otavio,52.50395,13.32186
Zum Patzenhofer,52.50259,13.32942
Oshima Sushi,52.49822,13.31776
Monarch,52.50013,13.3238
Weinkost,52.49733,13.32346
Sushi Berlin,52.49783,13.3196
Piccola Taormina,52.50125,13.32489
Hamlet,52.49761,13.3241
Trattoria Casa Lucariello,52.49716,13.31994
Cell.Restaurant,52.50122,13.32535
Restaurant Schwarz Weiß,52.37835,13.62207
Ratskeller Santorini,52.37373,13.61985
Luari,52.37272,13.62159
Mayas,52.37361,13.62059
Aao Ji,52.37397,13.61967
Ristorante Pizzeria Villa Rossano,52.37184,13.61396
Pizza-Europa Express Eichwalde,52.3725,13.61541
Marios-Eicafe,52.37419,13.62029
Trattoria Pane E Vino,52.37272,13.62159
Restaurant Karolinenhof,52.3883,13.64018
Winkel's Eiscafe,52.37873,13.64517
Villa Toscana - Ristorante Pizzeria,52.37602,13.64885
Norbert Müller - Bistro & Getränke,52.36968,13.60713
Lino Restaurant & Sushi Bar,52.37296,13.60241
Weingewolbe Berlin,52.43742,13.37635
Damaskus Chicken,52.43493,13.37867
Castello Lieferservice,52.43583,13.36928
Marios Imbiss,52.43665,13.37274
Mr. Tran,52.43649,13.37164
Dogtap,52.43824,13.36802
Sushi-Thai-China,52.43604,13.37941
Trattoria,52.43488,13.378262
Due Fratelli,52.43531,13.37802
Sushi - Asia Spezialitäten,52.43604,13.37941
Remise No. 1,52.44473,13.38569
Domino's Pizza,52.44358,13.38647
Rice & More,52.43454,13.37849
Kneipe Wallenstein,52.4432,13.38335
Villa Lakerda,52.43999,13.38461
Aristoteles,52.44657,13.37878
Mariannes Imbiss 2.0,52.44432,13.38576
Hai! Sushi,52.44725,13.38571
Marrashan,52.4436,13.38583
Kebab House,52.44574,13.38513
Cafe Tulipes,52.44503,13.37496
Yosi's Ess Station,52.44572,13.3797
Landhaus Alt-Mariendorf,52.43951,13.38481
Roma,52.44487,13.3746
Vodafone Aramark Kantine,52.44763,13.36201
Gaumenschmaus Hähnchengrill,52.4384,13.37982
My Burger Mariendorf,52.44509,13.38612
Curry Island,52.43351,13.37709
Ristobar Lopez,52.44534,13.38559
La Rosa,52.4436,13.38583
China Snack,52.43851,13.38307
Restaurant und Eiscafe Tiamo,52.44568,13.3842
Tandoori Nawab,52.44343,13.38593
Bistro Imbiss Ossowski,52.44712,13.36127
Café Kaiserhütte,52.44568,13.3842
Balkan Grillhaus,52.44473,13.38569
Bardolino,52.43387,13.3592
Zum Bistro,52.43427,13.35829
Burger Hütte,52.44725,13.38571
Chicken House,52.44783,13.38575
Basileus Pizza,52.44718,13.38523
Bücherzimmer Café,52.43387,13.3592
Ducky's,52.44231,13.38629
Call To Eat,52.43816,13.38324
By Miran's,52.44372,13.38638
Golden Gemüse Kebap,52.44372,13.38638
Curry-Kiste,52.445607,13.3863
La Piazza,52.44456,13.37823
Weltkugel Cocktail Lounge,52.44372,13.38638
Kebap House,52.44358,13.38647
Hallo Pizza!,52.44358,13.38647
Redo XXL,52.45451,13.384853
Pomodori Tempelhof,52.45467,13.38455
Restaurant Arkade,52.45186,13.3787
Centro Italia,52.42808,13.37739
La Sanata Lucha,52.453083,13.377721
Puppen Cafe,52.45034,13.38464
Hazienda-Steakhouse,52.43847,13.38757
Porto - Restaurant - Cafe - Eis - Bar,52.45467,13.38455
City Casino,52.43693,13.38885
